ID,VIDEO,LABEL
1,D0001N.mp4,địa chỉ
1,D0001T.mp4,địa chỉ
3,D0001B.mp4,địa chỉ
4,D0002.mp4,tỉnh
5,D0004.mp4,nhân viên
6,D0003.mp4,tiếp tân
7,D0005B.mp4,Miến Điện (nước Mi-an-ma)
8,D0006.mp4,Ma Cao
9,D0007.mp4,Do Thái
10,D0008.mp4,Ả Rập (nước Ả Rập)
11,D0009.mp4,phương Tây
12,D0010.mp4,phương Đông
13,D0011.mp4,Đu Bai (nước Đu Bai)
14,D0012.mp4,Albania (nước Albania)
15,D0014.mp4,nhập khẩu
16,D0015.mp4,Tuy Hoà
17,D0016.mp4,Quy Nhơn
18,D0017.mp4,hấp dẫn
19,D0018.mp4,nổi da gà
20,D0019B.mp4,ghen tị
21,D0019N.mp4,ghen tị
22,D0019T.mp4,ghen tị
23,D0020B.mp4,lung tung
24,D0020N.mp4,lung tung
25,D0022.mp4,cười nhếch mép
26,D0020T.mp4,lung tung
27,D0023.mp4,cười vỡ bụng
28,D0024N.mp4,tham ăn
28,D0024B.mp4,tham ăn
30,D0024T.mp4,tham ăn
31,D0028.mp4,đứng đầu (hàng đầu)
32,D0029B.mp4,thói quen
33,D0029N.mp4,thói quen
34,D0029T.mp4,thói quen
35,D0030.mp4,khuyến khích
36,D0031B.mp4,không nghe lời
37,D0031N.mp4,không nghe lời
38,D0031T.mp4,không nghe lời
39,D0032.mp4,ai cho
40,D0033B.mp4,không cho
41,D0033T.mp4,không cho
42,D0034.mp4,không cần
43,D0033N.mp4,không cho
44,D0035B.mp4,không nên
45,D0035N.mp4,không nên
46,D0035T.mp4,không nên
47,D0036.mp4,bực mình
48,D0038.mp4,mù chữ
49,D0039.mp4,vô tình
50,D0040B.mp4,Tết hàn thực
51,D0040N.mp4,Tết hàn thực
52,D0040T.mp4,Tết hàn thực
53,D0041.mp4,giỗ
54,D0042B.mp4,ngày Quốc tế phụ nữ 8/3
55,D0042N.mp4,ngày Quốc tế phụ nữ 8/3
56,D0042T.mp4,ngày Quốc tế phụ nữ 8/3
57,D0043B.mp4,ngày giải phóng thủ đô 10/10
58,D0043T.mp4,ngày giải phóng thủ đô 10/10
59,D0044B.mp4,ngày Giải phóng miền Nam 30/4
60,D0044N.mp4,ngày Giải phóng miền Nam 30/4
61,D0045B.mp4,ngày Người khuyết tật Việt Nam 18/4
62,D0045T.mp4,ngày Người khuyết tật Việt Nam 18/4
63,D0046B.mp4,ngày Người khuyết tật Thế giới 3/12
64,D0046N.mp4,ngày Người khuyết tật Thế giới 3/12
65,D0046T.mp4,ngày Người khuyết tật Thế giới 3/12
66,D0048B.mp4,lễ Halloween 31/10
67,D0048N.mp4,lễ Halloween 31/10
68,D0049B.mp4,ngày Phụ nữ Việt Nam 20/10
68,D0048T.mp4,lễ Halloween 31/10
70,D0049T.mp4,ngày Phụ nữ Việt Nam 20/10
71,D0050B.mp4,ngày thương bình liệt sĩ 27/7
72,D0050N.mp4,ngày thương bình liệt sĩ 27/7
73,D0050T.mp4,ngày thương bình liệt sĩ 27/7
74,D0051B.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
75,D0051N.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
76,D0051T.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
77,D0052B.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
78,D0053N.mp4,tuần lễ người Điếc thế giới
79,D0053T.mp4,tuần lễ người Điếc thế giới
80,D0054B.mp4,ngày của Mẹ
81,D0054N.mp4,ngày của Mẹ
82,D0054T.mp4,ngày của Mẹ
83,D0055B.mp4,ngày của Cha
84,D0055N.mp4,ngày của Cha
85,D0055T.mp4,ngày của Cha
86,D0056B.mp4,ngày gia đình Việt Nam 28/6
87,D0056N.mp4,ngày gia đình Việt Nam 28/6
88,D0056T.mp4,ngày gia đình Việt Nam 28/6
89,D0057B.mp4,ngày thầy thuốc Việt Nam
90,D0057N.mp4,ngày thầy thuốc Việt Nam
91,D0058B.mp4,ngày thành lập quân đội nhân dân Việt Nam
92,D0058N.mp4,ngày thành lập quân đội nhân dân Việt Nam
93,D0058T.mp4,ngày thành lập quân đội nhân dân Việt Nam
94,D0059.mp4,con cá sấu
95,D0060B.mp4,nhầm
96,D0060N.mp4,nhầm
97,D0060T.mp4,nhầm
98,D0061.mp4,đồng bằng sông Cửu Long
99,D0062.mp4,đồng bằng sông Hồng
100,D0064.mp4,buồn thảm
101,D0065B.mp4,mách
102,D0065N.mp4,mách
103,D0065T.mp4,mách
104,D0066B.mp4,vô duyên
105,D0066N.mp4,vô duyên
106,D0066T.mp4,vô duyên
107,D0068.mp4,kịp thời
108,D0070.mp4,hú vía
109,D0071.mp4,suỵt
110,D0072N.mp4,suýt
111,D0072T.mp4,suýt
112,D0073.mp4,cá voi
113,D0075.mp4,đuôi cá
114,D0077T.mp4,bít tết (bò)
115,D0078.mp4,súp
116,D0079.mp4,súp lơ
117,D0080B.mp4,mỳ tôm
118,D0080N.mp4,mỳ tôm
119,D0080T.mp4,mỳ tôm
120,D0081B.mp4,mỳ vằn thắn
121,D0082B.mp4,mỳ ý
122,D0082N.mp4,mỳ ý
123,D0083.mp4,bún mắm
124,D0084.mp4,bún chả
125,D0085.mp4,bún ngan
126,D0086.mp4,bún ốc
127,D0087B.mp4,bún đậu
128,D0088.mp4,xôi gấc
129,D0089.mp4,xôi gà
130,D0090.mp4,cháo sườn
131,D0091.mp4,cơm rang
132,D0092.mp4,nhấn mạnh
133,D0095.mp4,cắm trại
134,D0096.mp4,khả năng
135,D0098.mp4,có … không?
136,D0099.mp4,cung cấp
137,D0100.mp4,khờ dại
138,D0103B.mp4,từ chối
139,D0103N.mp4,từ chối
140,D0103T.mp4,từ chối
141,D0104.mp4,nấu nướng
142,D0105.mp4,xoa đầu
143,D0107.mp4,rực rỡ
144,D0108B.mp4,thiệp sinh nhật
